代替	dàitì	to replace
执政党	zhízhèngdǎng	ruling party
社会主义	shèhuìzhǔyì	socialist
理想	lǐxiǎng	ideal
……化	... huà	-ize (suffix)
强调	qiángdiào	to emphasize
中国人民解放军	Zhōngguó Rénmín Jiěfàng Jūn	Chinese People's Liberation Army
解放	jiěfàng	to liberate
国民党	Guómíndǎng	Kuomintang (KMT)
去世	qùshì	to pass away
抗日战争	Kàng Rì Zhànzhēng	War of Resistance Against Japan
总书记	zǒngshūji	general secretary
在野党	zàiyědǎng	out-of-power party
三个代表	sāngedàibiǎo	The Three Represents
八荣八耻	bāróngbāchǐ	The Eight-honor and Eight-shame
人大	réndà	National Peoples Congress
政协	zhèngxié	CPPCC
市场经济	shìchǎngjīngjì	market economy
取经	qǔjīng	to obtain the sacred texts
天马行空	tiānmǎxíngkōng	powerful and unconstrained style
忠心耿耿	zhōngxīngěnggěng	loyal and devoted
讲义气	jiǎng yìqi	to have personal loyalty
纯粹	chúncuì	pure
颠覆	diānfù	to subvert
创新	chuàngxīn	to innovate
四大名著	sìdà míngzhù	the Four Chinese Classical Novels
水浒传	Shuǐhǔzhuàn	The Water Margin
领事馆	lǐngshìguǎn	consulate
签证	qiānzhèng	visa
咨询	zīxún	advisory
申请	shēnqǐng	to apply for
手续	shǒuxù	procedure
附上	fùshàng	attach
证件	zhèngjiàn	valid ID
下载	xiàzài	download
接受	jiēshòu	to accept
支付	zhīfù	to pay
递交	dìjiāo	to hand in
办理	bànlǐ	to handle
护照	hùzhào	passport
有效期	yǒuxiàoqī	period of validity
延长	yáncháng	extend
审查	shěnchá	to examine
入境	rùjìng	to enter a country
出境	chūjìng	to leave the country
